,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
33081,3562,KGRB,large_airport,Austin Straubel International Airport,44.48509979248047,-88.12960052490234,695.0,,US,US-WI,Green Bay,yes,KGRB,GRB,GRB,,https://en.wikipedia.org/wiki/Austin_Straubel_International_Airport,
33082,19976,KGRD,small_airport,Greenwood County Airport,34.2486991882,-82.15910339359999,631.0,,US,US-SC,Greenwood,no,KGRD,GRD,GRD,,,
33083,19977,KGRE,small_airport,Greenville Airport,38.8362007141,-89.37840271,541.0,,US,US-IL,Greenville,no,KGRE,GRE,GRE,,https://en.wikipedia.org/wiki/Greenville_Airport,
33084,3563,KGRF,medium_airport,Gray Army Air Field,47.07920074,-122.5810013,300.0,,US,US-WA,Fort Lewis/Tacoma,no,KGRF,GRF,GRF,,https://en.wikipedia.org/wiki/Gray_Army_Airfield,
33085,3564,KGRI,medium_airport,Central Nebraska Regional Airport,40.96749877929688,-98.30960083007812,1847.0,,US,US-NE,Grand Island,yes,KGRI,GRI,GRI,,https://en.wikipedia.org/wiki/Central_Nebraska_Regional_Airport,
33086,3565,KGRK,medium_airport,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field,31.0672,-97.828903,1015.0,,US,US-TX,Killeen,yes,KGRK,GRK,GRK,,https://en.wikipedia.org/wiki/Killeen-Fort_Hood_Regional_Airport,Robert Gray Army Air Field
33088,19978,KGRN,small_airport,Gordon Municipal Airport,42.8059997559,-102.175003052,3562.0,,US,US-NE,Gordon,no,KGRN,GRN,GRN,,,
33089,3566,KGRR,medium_airport,Gerald R. Ford International Airport,42.88079834,-85.52279663,794.0,,US,US-MI,Grand Rapids,yes,KGRR,GRR,GRR,,https://en.wikipedia.org/wiki/Gerald_R._Ford_International_Airport,
33090,3567,KGSB,large_airport,Seymour Johnson Air Force Base,35.33940125,-77.96060181,109.0,,US,US-NC,Goldsboro,no,KGSB,GSB,GSB,http://www.seymourjohnson.af.mil/,https://en.wikipedia.org/wiki/Seymour_Johnson_Air_Force_Base,
33091,19979,KGSH,small_airport,Goshen Municipal Airport,41.5264015198,-85.79290008539999,827.0,,US,US-IN,Goshen,no,KGSH,GSH,GSH,http://www.goshenindiana.org/content/goshen-municipal-airport,https://en.wikipedia.org/wiki/Goshen_Municipal_Airport,
33092,3568,KGSO,large_airport,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,925.0,,US,US-NC,Greensboro,yes,KGSO,GSO,GSO,,https://en.wikipedia.org/wiki/Piedmont_Triad_International_Airport,
33093,3569,KGSP,large_airport,Greenville Spartanburg International Airport,34.895699,-82.218903,964.0,,US,US-SC,Greer,yes,KGSP,GSP,GSP,,https://en.wikipedia.org/wiki/Greenville-Spartanburg_International_Airport,
33094,307427,KGSW,closed,Greater Southwest International Airport-Amon Carter Field,32.8308104547,-97.0491886139,568.0,,US,US-TX,Fort Worth,no,KGSW,GSW,GSW,,https://en.wikipedia.org/wiki/Greater_Southwest_International_Airport,
33097,3571,KGTF,medium_airport,Great Falls International Airport,47.48199844,-111.3710022,3680.0,,US,US-MT,Great Falls,yes,KGTF,GTF,GTF,,https://en.wikipedia.org/wiki/Great_Falls_International_Airport,
33098,19981,KGTG,small_airport,Grantsburg Municipal Airport,45.7980995178,-92.6643981934,927.0,,US,US-WI,Grantsburg,no,KGTG,GTG,GTG,http://www.grantsburgwi.com/airport.html,https://en.wikipedia.org/wiki/Grantsburg_Municipal_Airport,
33099,19982,KGTR,medium_airport,Golden Triangle Regional Airport,33.450298309299995,-88.5914001465,264.0,,US,US-MS,Columbus/W Point/Starkville,yes,KGTR,GTR,GTR,,,
33101,19984,KGUC,small_airport,Gunnison Crested Butte Regional Airport,38.53390121,-106.9329987,7680.0,,US,US-CO,Gunnison,no,KGUC,GUC,GUC,,https://en.wikipedia.org/wiki/Gunnison-Crested_Butte_Regional_Airport,
33102,3572,KGUP,medium_airport,Gallup Municipal Airport,35.511100769,-108.789001465,6472.0,,US,US-NM,Gallup,no,KGUP,GUP,GUP,,https://en.wikipedia.org/wiki/Gallup_Municipal_Airport,
33103,3573,KGUS,large_airport,Grissom Air Reserve Base,40.6481018066,-86.1520996094,812.0,,US,US-IN,Peru,no,KGUS,GUS,GUS,http://www.grissom.afrc.af.mil/,https://en.wikipedia.org/wiki/Grissom_Air_Reserve_Base,
33104,19985,KGUY,medium_airport,Guymon Municipal Airport,36.6851005554,-101.508003235,3123.0,,US,US-OK,Guymon,no,KGUY,GUY,GUY,http://www.guymonok.org/index.aspx?NID=179,https://en.wikipedia.org/wiki/Guymon_Municipal_Airport,
33105,19986,KGVL,small_airport,Lee Gilmer Memorial Airport,34.27259827,-83.8302002,1276.0,,US,US-GA,Gainesville,no,KGVL,GVL,GVL,https://www.gainesville.org/lee-gilmer-memorial-airport,https://en.wikipedia.org/wiki/Lee_Gilmer_Memorial_Airport,
33107,19988,KGVT,small_airport,Majors Airport,33.0677986145,-96.0652999878,535.0,,US,US-TX,Greenville,no,KGVT,GVT,GVT,,https://en.wikipedia.org/wiki/Majors_Airport,
33108,30007,KGVW,closed,Richards-Gebaur Air Force Base,38.844200134277344,-94.55999755859376,1093.0,,US,US-MO,Belton,no,KGVW,GVW,,,https://en.wikipedia.org/wiki/Richards-Gebaur_Air_Force_Base,Grandview Airport
33109,302158,KGW,small_airport,Kagi Airport,-9.13591666667,147.669444444,4200.0,OC,PG,PG-CPM,Kagi,no,AYKQ,KGW,KAGI,,,
33112,3574,KGWO,medium_airport,Greenwood–Leflore Airport,33.4943008423,-90.0847015381,162.0,,US,US-MS,Greenwood,no,KGWO,GWO,GWO,http://greenwoodms.com/index.aspx?nid=113,https://en.wikipedia.org/wiki/Greenwood%E2%80%93Leflore_Airport,
33114,19991,KGWS,small_airport,Glenwood Springs Municipal Airport,39.5083007812,-107.310997009,5916.0,,US,US-CO,Glenwood Springs,no,KGWS,GWS,GWS,http://www.glenwoodspringsairport.com/,,
33116,19993,KGX,small_airport,Grayling Airport,62.895187,-160.066289,99.0,,US,US-AK,Grayling,yes,PAGX,KGX,KGX,,https://en.wikipedia.org/wiki/Grayling_Airport,
33117,19994,KGXY,small_airport,Greeley–Weld County Airport,40.4374008179,-104.633003235,4697.0,,US,US-CO,Greeley,no,KGXY,GXY,GXY,http://www.gxy.net/,https://en.wikipedia.org/wiki/Greeley-Weld_County_Airport,Crosier Field
33119,19996,KGYH,small_airport,Donaldson Field Airport,34.758301,-82.376404,955.0,,US,US-SC,Greenville,no,KGYH,GDC,GYH,,https://en.wikipedia.org/wiki/Donaldson_Center_Airport,7A1
33120,19997,KGYI,small_airport,North Texas Regional Airport/Perrin Field,33.714099884,-96.6736984253,749.0,,US,US-TX,Sherman/Denison,no,KGYI,PNX,GYI,http://www.northtexasregionalairport.com/,https://en.wikipedia.org/wiki/North_Texas_Regional_Airport,Perrin AFB
33122,19999,KGYR,small_airport,Phoenix Goodyear Airport,33.4225006104,-112.375999451,968.0,,US,US-AZ,Goodyear,no,KGYR,GYR,GYR,http://goodyearairport.com/,https://en.wikipedia.org/wiki/Phoenix_Goodyear_Airport,NAS Litchfield Park
33123,3575,KGYY,medium_airport,Gary Chicago International Airport,41.61629867553711,-87.41280364990234,591.0,,US,US-IN,Gary,no,KGYY,GYY,GYY,,https://en.wikipedia.org/wiki/Gary/Chicago_International_Airport,
33124,20000,KGZ,small_airport,Glacier Creek Airport,61.4551010132,-142.380996704,2380.0,,US,US-AK,Glacier Creek,no,KGZ,KGZ,KGZ,,,
33148,20021,KHAB,small_airport,Marion County Rankin Fite Airport,34.11759949,-87.99819946,436.0,,US,US-AL,Hamilton,no,KHAB,HAB,HAB,,https://en.wikipedia.org/wiki/Marion_County_%E2%80%93_Rankin_Fite_Airport,
33150,20023,KHAF,small_airport,Half Moon Bay Airport,37.5134010315,-122.500999451,66.0,,US,US-CA,Half Moon Bay,no,KHAF,HAF,HAF,,https://en.wikipedia.org/wiki/Half_Moon_Bay_Airport,
33151,20024,KHAI,small_airport,Three Rivers Municipal Dr Haines Airport,41.9598007202,-85.59339904790001,824.0,,US,US-MI,Three Rivers,no,KHAI,HAI,HAI,,,
33152,20025,KHAO,small_airport,Butler Co Regional Airport - Hogan Field,39.3638000488,-84.5220031738,633.0,,US,US-OH,Hamilton,no,KHAO,HAO,HAO,http://bcra.butlercountyohio.org/,https://en.wikipedia.org/wiki/Butler_County_Regional_Airport,
33153,17617,KHAX,closed,Hatbox Field,35.746437,-95.413277,627.0,,US,US-OK,Muskogee,no,KHAX,HAX,HAX,,https://en.wikipedia.org/wiki/Hatbox_Field,Muskogee Army Airfield
